range_1,range_x,n,winrate,profit_u,roi_pct
2.05-2.20,3.10-3.25,31,0.8064516129032258,3.4999999999999964,11.29032258064515
2.35-2.50,3.40-3.55,75,0.7866666666666666,6.419999999999995,8.559999999999993
1.90-2.05,3.70-3.85,49,0.7755102040816326,3.439999999999996,7.020408163265297
2.05-2.20,3.55-3.70,70,0.7714285714285715,4.519999999999996,6.457142857142852
2.20-2.35,3.25-3.40,58,0.7586206896551724,2.7199999999999953,4.689655172413785
1.90-2.05,3.40-3.55,87,0.7586206896551724,4.079999999999991,4.689655172413783
1.60-1.75,3.85-4.00,49,0.7551020408163265,2.059999999999995,4.204081632653051
2.35-2.50,3.10-3.25,53,0.7547169811320755,2.1999999999999957,4.150943396226407
1.75-1.90,3.70-3.85,71,0.7464788732394366,2.1399999999999935,3.014084507042244
1.45-1.60,4.15-4.30,39,0.7435897435897436,1.019999999999996,2.615384615384605
2.65-2.80,3.10-3.25,35,0.7428571428571429,0.8799999999999972,2.5142857142857062
2.20-2.35,3.40-3.55,90,0.7333333333333333,1.0799999999999912,1.1999999999999902
1.60-1.75,3.70-3.85,56,0.7321428571428571,0.5799999999999947,1.0357142857142763
2.05-2.20,3.40-3.55,102,0.7156862745098039,-1.2600000000000087,-1.2352941176470673
2.05-2.20,3.25-3.40,63,0.7142857142857143,-0.9000000000000057,-1.4285714285714375
2.50-2.65,3.10-3.25,34,0.7058823529411765,-0.8800000000000026,-2.5882352941176547
2.35-2.50,3.55-3.70,34,0.7058823529411765,-0.8800000000000026,-2.5882352941176547
1.75-1.90,3.40-3.55,64,0.703125,-1.9000000000000057,-2.968750000000009
2.35-2.50,3.25-3.40,74,0.7027027027027027,-2.2400000000000055,-3.0270270270270347
1.60-1.75,3.55-3.70,30,0.7,-1.0200000000000022,-3.400000000000007
1.75-1.90,3.55-3.70,68,0.6911764705882353,-3.140000000000004,-4.617647058823535
1.90-2.05,3.25-3.40,45,0.6888888888888889,-2.2200000000000024,-4.933333333333339
2.20-2.35,3.10-3.25,52,0.6730769230769231,-3.700000000000003,-7.11538461538462
2.20-2.35,3.55-3.70,41,0.6585365853658537,-3.740000000000002,-9.1219512195122
1.60-1.75,4.15-4.30,29,0.6551724137931034,-2.780000000000002,-9.586206896551731
1.90-2.05,3.55-3.70,78,0.6538461538461539,-7.6200000000000045,-9.769230769230774
1.45-1.60,4.00-4.15,43,0.6511627906976745,-4.360000000000003,-10.139534883720938
2.65-2.80,3.25-3.40,43,0.6511627906976745,-4.360000000000003,-10.139534883720938
2.65-2.80,3.40-3.55,40,0.65,-4.120000000000003,-10.300000000000006
2.50-2.65,3.25-3.40,62,0.6451612903225806,-6.800000000000004,-10.967741935483879
2.50-2.65,3.40-3.55,68,0.6323529411764706,-8.660000000000004,-12.735294117647063
1.75-1.90,3.85-4.00,33,0.6060606060606061,-5.400000000000002,-16.36363636363637
2.65-2.80,3.55-3.70,20,0.6,-3.4400000000000013,-17.200000000000006
1.60-1.75,4.00-4.15,70,0.5571428571428572,-16.180000000000003,-23.114285714285717
