range_1,range_x,n,winrate,roi_pct
1.60-1.75,3.85-4.00,49,0.9183673469387755,17.551020408163268
2.35-2.50,3.55-3.70,34,0.9117647058823529,16.70588235294118
2.65-2.80,3.55-3.70,20,0.9,15.200000000000005
2.20-2.35,3.10-3.25,52,0.8653846153846154,10.769230769230772
1.45-1.60,4.15-4.30,39,0.8461538461538461,8.307692307692308
1.60-1.75,3.70-3.85,56,0.8392857142857143,7.4285714285714315
1.75-1.90,3.55-3.70,68,0.8382352941176471,7.294117647058824
1.60-1.75,3.55-3.70,30,0.8333333333333334,6.66666666666667
2.65-2.80,3.10-3.25,35,0.8285714285714286,6.0571428571428605
2.05-2.20,3.10-3.25,31,0.8064516129032258,3.2258064516129057
1.60-1.75,4.15-4.30,29,0.7931034482758621,1.5172413793103463
1.60-1.75,4.00-4.15,70,0.7857142857142857,0.5714285714285745
2.05-2.20,3.40-3.55,102,0.7843137254901961,0.3921568627451001
1.75-1.90,3.40-3.55,64,0.78125,2.7755575615628914e-15
1.90-2.05,3.25-3.40,45,0.7777777777777778,-0.44444444444444287
2.05-2.20,3.25-3.40,63,0.7777777777777778,-0.4444444444444434
2.35-2.50,3.40-3.55,75,0.7733333333333333,-1.0133333333333308
2.35-2.50,3.25-3.40,74,0.7702702702702703,-1.4054054054054042
1.90-2.05,3.55-3.70,78,0.7692307692307693,-1.5384615384615374
2.65-2.80,3.25-3.40,43,0.7674418604651163,-1.7674418604651156
2.50-2.65,3.10-3.25,34,0.7647058823529411,-2.1176470588235263
1.90-2.05,3.40-3.55,87,0.7586206896551724,-2.8965517241379306
2.50-2.65,3.25-3.40,62,0.7580645161290323,-2.967741935483868
1.75-1.90,3.85-4.00,33,0.7575757575757576,-3.0303030303030276
1.90-2.05,3.70-3.85,49,0.7551020408163265,-3.346938775510202
1.75-1.90,3.70-3.85,71,0.7464788732394366,-4.45070422535211
1.45-1.60,4.00-4.15,43,0.7441860465116279,-4.744186046511626
2.05-2.20,3.55-3.70,70,0.7428571428571429,-4.914285714285711
2.35-2.50,3.10-3.25,53,0.7358490566037735,-5.811320754716978
2.50-2.65,3.40-3.55,68,0.7205882352941176,-7.76470588235294
2.20-2.35,3.55-3.70,41,0.7073170731707317,-9.46341463414634
2.20-2.35,3.40-3.55,90,0.6888888888888889,-11.82222222222222
2.20-2.35,3.25-3.40,58,0.6379310344827587,-18.344827586206893
2.65-2.80,3.40-3.55,40,0.6,-23.2
